transaction_id,customer_id,customer_name,email,purchase_date,product_id,category,price,quantity,total_amount,payment_method,delivery_status,customer_address,id
1044,187,"Miguel Henry",fguerra@gmail.com,2024-07-12,1007,Toys,3214.93,3,9644.79,"Credit Card",Cancelled,"3055 Richard Pine Apt. 405
Smithmouth, NV 87080",1
1133,8,"Teresa Garcia",holly70@hotmail.com,2024-06-05,1003,Unknown,2860.28,1,2860.28,"Credit Card",Processing,"846 Toni Fall Apt. 841
West Benjamin, OR 36728",2
1030,443,"Sierra Lopez",NULL,2023-03-26,1060,Unknown,1455.39,1,1455.39,"Credit Card",Processing,"960 Dawn Spurs
East Katherine, WY 68562",3
1045,463,User,alanmurphy@hotmail.com,2023-12-31,1030,Electronics,1466.11,2,2932.22,PayPal,Delivered,"44316 Hayes Ranch Apt. 008
Fernandezborough, AZ 34057",4
1046,270,"Destiny Reeves",hansendenise@hotmail.com,2023-03-02,1083,"Home & Kitchen",1898.13,6,11388.78,"Credit Card","Not Delivered","4398 Christina Street Apt. 900
East Aaron, MD 61685",5
1047,189,"Christopher Nelson",benderjason@luna.com,NULL,1049,"Home & Kitchen",666.68,8,5333.44,"Credit Card","Not Delivered","PSC 7563, Box 3932
APO AA 86529",6
1048,445,"Michele Williams",ishort@jones-moreno.org,2023-05-08,1089,Clothing,2545.92,8,20367.36,"Credit Card",Cancelled,"526 Spencer Roads Apt. 711
Benjaminside, MO 66205",7
1049,174,"Crystal Webb",NULL,2024-03-17,1016,Toys,1766.69,2,3533.38,"Credit Card",Delivered,"07021 Smith Hills
East Richardshire, MT 15990",8
1050,445,"Claudia Knight",twilson@young.com,2024-07-06,1051,"Home & Kitchen",2365.52,1,2365.52,"Credit Card",Processing,"Not Available",9
1051,50,"Courtney Ross",peter47@hotmail.com,2024-01-16,1072,"Home & Kitchen",206.21,1,206.21,PayPal,Shipped,"Not Available",10
1052,363,"Walter Martin",bennettmeghan@yahoo.com,2024-09-03,1082,Toys,1848.09,3,5544.27,"Credit Card",Returned,"Not Available",11
1134,343,"Barbara Armstrong",josephmills@williams-perez.info,2023-09-08,1047,Toys,2235.47,6,13412.82,"Bank Transfer",Pending,"91095 Patrick Summit
Brownbury, SC 52328",12
1135,128,"Natasha Robinson",annette74@nguyen.org,2024-09-20,1062,Unknown,3132.36,3,9397.08,"Credit Card",Cancelled,"46002 Daniel Roads
East Peter, FL 68593",13
1136,491,"Elizabeth Anderson",NULL,2023-03-23,1099,Books,2530.75,4,10123.00,"Credit Card",Pending,"769 Patrick Squares Suite 336
New Makaylaside, MS 07081",14
1137,135,"Timothy Bailey",qcobb@hotmail.com,2024-03-04,1014,Electronics,1534.45,7,10741.15,"Credit Card",Cancelled,"575 Christine Drives
Lake Kimberlyville, AK 62053",15
1138,471,"Gail Williams",kellymarissa@fletcher.com,2023-08-09,1063,Electronics,1200.10,8,9600.80,"Credit Card",Cancelled,"279 Meadows Valleys
Port Aaronstad, IN 42370",16
1139,62,"Martin Rodgers",charlesgarner@gmail.com,2023-03-24,1061,Toys,4103.24,5,20516.20,"Credit Card",Returned,"916 Stephens Meadow
Brownburgh, NM 11189",17
1140,138,"George Spence",davisashley@hensley.com,2024-12-26,1031,Electronics,2545.09,2,5090.18,"Credit Card",Pending,"5745 Joseph Branch
Port David, GA 88047",18
1141,498,"Stephen Perez",ybutler@hotmail.com,2024-03-16,1095,Books,3655.99,2,7311.98,"Debit Card",Pending,"5475 Kelly Key Suite 679
Silvaburgh, CT 93728",19
1142,80,"Ashley Meyer",louis07@gmail.com,2023-09-23,1017,Books,3686.63,4,14746.52,"Credit Card","Not Delivered","7048 Morrison Run
Port Laura, MD 01309",20
1053,54,"Katie Blevins",maria67@savage.com,2024-03-07,1092,Books,4012.00,9,36108.00,"Credit Card",Cancelled,"289 Vaughn Ramp
East Andreaton, DC 04496",21
1054,243,"Jessica Roach",kaitlynrodriguez@adams.com,2023-11-28,1080,"Home & Kitchen",3470.91,6,20825.46,"Bank Transfer","Not Delivered","34099 Decker Glen
Garciamouth, CT 87019",22
1055,319,"Stephen Weber",nmitchell@gmail.com,2023-12-28,1083,Unknown,4481.93,8,35855.44,"Credit Card",Pending,"998 Matthew Lodge
Julieburgh, VT 55050",23
1056,130,"Danny Sanchez",andrewmosley@gonzalez.com,2023-04-12,1042,Electronics,2280.85,3,6842.55,"Credit Card",Delivered,"Unit 1539 Box 4210
DPO AP 84278",24
1057,484,"Gavin Santiago",NULL,2023-11-26,1017,Clothing,4105.10,8,32840.80,"Credit Card",Shipped,"152 Dean Fields
Patriciatown, UT 03406",25
1058,306,"Victor Bartlett",NULL,NULL,1063,"Home & Kitchen",3308.44,1,3308.44,PayPal,Returned,"1197 Dixon Harbor
East Cassandra, MO 89584",26
1059,134,"Justin Smith",cmays@crawford.com,2023-11-05,1045,Unknown,1846.67,5,9233.35,"Debit Card",Pending,"Unit 8934 Box 0041
DPO AP 92257",27
1060,20,"Suzanne Orozco",timothywoods@gmail.com,2024-05-13,1077,Unknown,1938.98,4,7755.92,PayPal,Delivered,"465 Taylor Curve Suite 197
South David, WI 73795",28
